mes_inicio,provincia_origen,provincia_destino,viajes,viajeros,edicion
2022-10,Santa Cruz,Tucumán,5,7,previaje 3
2022-10,Santa Fe,Buenos Aires,687,1506,previaje 3
2022-10,Santa Fe,Catamarca,507,837,previaje 3
2022-10,Santa Fe,Chaco,11,23,previaje 3
2022-10,Santa Fe,Chubut,1643,3014,previaje 3
2022-10,Santa Fe,Ciudad Autónoma de Buenos Aires,1145,2523,previaje 3
2022-10,Santa Fe,Córdoba,1527,3772,previaje 3
2022-10,Santa Fe,Corrientes,111,284,previaje 3
2022-10,Santa Fe,Entre Ríos,320,742,previaje 3
2022-10,Santa Fe,Formosa,8,14,previaje 3
2022-10,Santa Fe,Jujuy,535,1175,previaje 3
2022-10,Santa Fe,La Pampa,33,85,previaje 3
2022-10,Santa Fe,La Rioja,374,668,previaje 3
2022-10,Santa Fe,Mendoza,1369,2810,previaje 3
2022-10,Santa Fe,Misiones,903,2147,previaje 3
2022-10,Santa Fe,Neuquén,512,1209,previaje 3
2022-10,Santa Fe,Río Negro,1713,3551,previaje 3
2022-10,Santa Fe,Salta,1433,2807,previaje 3
2022-10,Santa Fe,San Juan,163,290,previaje 3
2022-10,Santa Fe,San Luis,427,824,previaje 3
2022-10,Santa Fe,Santa Cruz,1459,2769,previaje 3
2022-10,Santa Fe,Santa Fe,242,594,previaje 3
2022-10,Santa Fe,Santiago del Estero,188,372,previaje 3
2022-10,Santa Fe,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",1180,2136,previaje 3
2022-10,Santa Fe,Tucumán,296,588,previaje 3
2022-10,Santiago del Estero,Buenos Aires,99,198,previaje 3
2022-10,Santiago del Estero,Catamarca,4,7,previaje 3
2022-10,Santiago del Estero,Chubut,31,43,previaje 3
2022-10,Santiago del Estero,Ciudad Autónoma de Buenos Aires,217,409,previaje 3
2022-10,Santiago del Estero,Córdoba,46,109,previaje 3
2022-10,Santiago del Estero,Corrientes,9,12,previaje 3
2022-10,Santiago del Estero,Jujuy,17,35,previaje 3
2022-10,Santiago del Estero,La Rioja,14,34,previaje 3
2022-10,Santiago del Estero,Mendoza,46,83,previaje 3
2022-10,Santiago del Estero,Misiones,15,26,previaje 3
2022-10,Santiago del Estero,Neuquén,9,18,previaje 3
2022-10,Santiago del Estero,Río Negro,29,54,previaje 3
2022-10,Santiago del Estero,Salta,21,44,previaje 3
2022-10,Santiago del Estero,San Luis,12,25,previaje 3
2022-10,Santiago del Estero,Santa Cruz,34,61,previaje 3
2022-10,Santiago del Estero,Santa Fe,3,4,previaje 3
2022-10,Santiago del Estero,Santiago del Estero,40,140,previaje 3
